# QSO z1 [0.9,1.3)  source: catalog weighted-hist dz=0.01
# z  nz
0.90500 4.4601439669e+03
0.91500 4.5027209104e+03
0.92500 4.5719488006e+03
0.93500 4.7171900937e+03
0.94500 4.7229415296e+03
0.95500 4.6692040871e+03
0.96500 4.7035326430e+03
0.97500 4.7066699649e+03
0.98500 4.8497056956e+03
0.99500 4.9541933345e+03
1.00500 5.0344283687e+03
1.01500 5.0948089382e+03
1.02500 5.2514673621e+03
1.03500 5.2410519532e+03
1.04500 5.2677874412e+03
1.05500 5.4614897566e+03
1.06500 5.5362048136e+03
1.07500 5.4992339350e+03
1.08500 5.6755903363e+03
1.09500 5.5797797187e+03
1.10500 5.6356535456e+03
1.11500 5.6616270172e+03
1.12500 5.7928080461e+03
1.13500 5.9314600529e+03
1.14500 6.0576601956e+03
1.15500 6.2252172955e+03
1.16500 6.3320718277e+03
1.17500 6.4177079889e+03
1.18500 6.4069860959e+03
1.19500 6.4058190143e+03
1.20500 6.4713705428e+03
1.21500 6.6796796371e+03
1.22500 6.5886038141e+03
1.23500 6.5414477801e+03
1.24500 6.8738826123e+03
1.25500 6.8731552887e+03
1.26500 6.8831301137e+03
1.27500 6.8179491724e+03
1.28500 7.1684877003e+03
1.29500 7.1819432262e+03
