# LRG z3 [0.8,1.0)  source: catalog weighted-hist dz=0.01
# z  nz
0.80500 4.9551492654e+04
0.81500 4.8059286144e+04
0.82500 4.7382968905e+04
0.83500 4.7135212920e+04
0.84500 4.5944711607e+04
0.85500 4.4823637773e+04
0.86500 4.3150017974e+04
0.87500 4.2112709511e+04
0.88500 4.1158930810e+04
0.89500 3.8665520585e+04
0.90500 3.7916311181e+04
0.91500 3.4926509318e+04
0.92500 3.3264759562e+04
0.93500 3.2202548556e+04
0.94500 3.0504168323e+04
0.95500 2.8753195118e+04
0.96500 2.6272786364e+04
0.97500 2.3936085513e+04
0.98500 2.1564983751e+04
0.99500 1.9790169030e+04
