# LRG z1 [0.4,0.6)  source: catalog weighted-hist dz=0.01
# z  nz
0.40500 1.8360467762e+04
0.41500 1.9310652615e+04
0.42500 1.9540586760e+04
0.43500 2.0505234895e+04
0.44500 2.1657881927e+04
0.45500 2.2259193852e+04
0.46500 2.2038939580e+04
0.47500 2.2740080990e+04
0.48500 2.3440406121e+04
0.49500 2.4184260457e+04
0.50500 2.5379262305e+04
0.51500 2.5257203601e+04
0.52500 2.7064649624e+04
0.53500 2.7761207595e+04
0.54500 2.8592207022e+04
0.55500 2.9796610616e+04
0.56500 3.1047790828e+04
0.57500 3.0793011283e+04
0.58500 3.1181760673e+04
0.59500 3.2161939423e+04
