# BGS z1 [0.0,0.2)  source: catalog weighted-hist dz=0.01
# z  nz
0.00500 0.0000000000e+00
0.01500 1.4377368265e+04
0.02500 2.9841142233e+04
0.03500 4.4650348269e+04
0.04500 5.0382505706e+04
0.05500 6.0974787387e+04
0.06500 7.4979696573e+04
0.07500 9.2816899620e+04
0.08500 1.1138042491e+05
0.09500 1.0176697923e+05
0.10500 1.0601764830e+05
0.11500 1.1969640547e+05
0.12500 1.2885027574e+05
0.13500 1.4222607453e+05
0.14500 1.3984138477e+05
0.15500 1.4382238744e+05
0.16500 1.4471278160e+05
0.17500 1.4829414568e+05
0.18500 1.5016337138e+05
0.19500 1.4922625947e+05
