# ELG z3 [1.4,1.6)  source: catalog weighted-hist dz=0.01
# z  nz
1.40500 2.8231839876e+04
1.41500 2.7802278987e+04
1.42500 2.8298063752e+04
1.43500 2.7788309543e+04
1.44500 2.7633089634e+04
1.45500 2.6963365138e+04
1.46500 2.6487523819e+04
1.47500 2.6641756059e+04
1.48500 2.6414982677e+04
1.49500 2.0938112134e+04
1.50500 1.9966444465e+04
1.51500 1.8666796111e+04
1.52500 1.8960931208e+04
1.53500 1.6051173583e+04
1.54500 1.7312609975e+04
1.55500 1.7451573351e+04
1.56500 1.7283031315e+04
1.57500 1.8068569937e+04
1.58500 1.7200580642e+04
1.59500 1.5269723201e+04
