# ELG z2 [1.1,1.4)  source: catalog weighted-hist dz=0.01
# z  nz
1.10500 3.2005666979e+04
1.11500 3.1913473095e+04
1.12500 3.1901611146e+04
1.13500 3.2312668841e+04
1.14500 3.2599030805e+04
1.15500 3.2239952116e+04
1.16500 3.2925731919e+04
1.17500 3.2271412794e+04
1.18500 3.2325939034e+04
1.19500 3.2538398462e+04
1.20500 3.2283421192e+04
1.21500 3.2220773472e+04
1.22500 3.1013056377e+04
1.23500 3.1839672181e+04
1.24500 3.1213598926e+04
1.25500 3.1805268527e+04
1.26500 3.1138940156e+04
1.27500 3.0301568748e+04
1.28500 3.0668642167e+04
1.29500 3.0071011562e+04
1.30500 3.0020524211e+04
1.31500 2.9409364319e+04
1.32500 2.9681227912e+04
1.33500 3.0589659842e+04
1.34500 3.0186542350e+04
1.35500 2.9471434879e+04
1.36500 2.9403293345e+04
1.37500 2.9308077664e+04
1.38500 2.8557433652e+04
1.39500 2.8757928318e+04
