# QSO z2 [1.3,1.8)  source: catalog weighted-hist dz=0.01
# z  nz
1.30500 7.3189490844e+03
1.31500 7.4564041940e+03
1.32500 6.8729968488e+03
1.33500 7.2201347027e+03
1.34500 7.2908792507e+03
1.35500 7.1520880671e+03
1.36500 7.2095146328e+03
1.37500 7.1794495129e+03
1.38500 7.0918551941e+03
1.39500 7.3124922565e+03
1.40500 7.3373514327e+03
1.41500 7.3073655665e+03
1.42500 7.6238818181e+03
1.43500 7.7558821385e+03
1.44500 7.5367851162e+03
1.45500 7.4838369368e+03
1.46500 7.6522150235e+03
1.47500 7.7660919349e+03
1.48500 7.7392634975e+03
1.49500 7.5179537596e+03
1.50500 7.9145960952e+03
1.51500 7.8165386219e+03
1.52500 8.1048777410e+03
1.53500 7.6000916663e+03
1.54500 7.7423674400e+03
1.55500 7.9407007878e+03
1.56500 7.9653306788e+03
1.57500 8.1251614258e+03
1.58500 7.9655421564e+03
1.59500 7.1209845860e+03
1.60500 7.4417897088e+03
1.61500 7.6481211950e+03
1.62500 7.5843761902e+03
1.63500 7.8010780878e+03
1.64500 7.9993726434e+03
1.65500 8.0103358641e+03
1.66500 8.0027393439e+03
1.67500 7.5362851252e+03
1.68500 7.7813312368e+03
1.69500 7.8488882586e+03
1.70500 7.8484906812e+03
1.71500 7.4902276950e+03
1.72500 7.4716137176e+03
1.73500 7.5113275655e+03
1.74500 7.7121145270e+03
1.75500 7.7858856628e+03
1.76500 7.5452284921e+03
1.77500 7.6823810674e+03
1.78500 7.9129116510e+03
1.79500 7.7223225894e+03
